ID;BAIRRO;TIPO;RUA;NUMERO;PRECO;R$/m2;DESC;CEP;latitude;longitude
2664220103;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Travessa Dona Marciana;-1;10000000,00;925,93; Privilegio Imóveis Vende: Maravilhoso Terreno de 10,800 m2 com dois barracões, uma casa no alto com área plana para lazer fronteira total aproximado de 12,240M2;22280120;-22,957169;-43,182483
2663913296;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;-1;700000,00;1776,65; Privilegio Imóveis Vende: Excelente Oportunidade de Terreno a venda em Botafogo em área verde com vista sublime do Cristo Redentor a Baia de Guanabara, Ideal para quem desejar construir sua residência em meio a uma bela área verde, silenciosa e de vista panorâmica ao bairro de Botafogo,  Ótima Localização entre os bairros de Laranjeiras pelas ruas Oswaldo Seabra, rua Cardoso Júnior e Botafogo pela rua Assunção e rua Marques de Olinda, Documentação compra e venda, O valor do imóvel poderá sofrer alteração sem prévio aviso, Facilite seu atendimento informando o código 55456, Avaliamos seu imóvel gratuitamente;22251020;-22,942291;-43,187404
2664239770;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;-1;710000,00;1806,62;Ótimo Terreno em Botafogo disponível para venda na Privilégio Imóveis, tanto para construir obras em declive ou aclive com 2 entradas na mesma rua, pronto para construir,com a metragem de 393m2, Os valores poderão sofrer alteração sem aviso prévio;22251020;-22,942291;-43,187404
2640286607;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;-1;720000,00;1827,41;Lopes Enjoy Vende, Terreno de 393,50m² com duas frentes em Botafogo, Terreno Aclive com vista panorâmica, Cercado de verde, rua tranquila e silenciosa prioritariamente residencial, Localização estratégica de acesso a Laranjeiras, Ligue e agende uma visita!  Atualizado dia quinze de outubro de dois mil e vinte e dois;22251020;-22,942291;-43,187404
2649371112;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;-1;720000,00;1827,41;Terreno localizado em uma rua residencial tranquila, muito arborizada, pavimentada, multifamiliar podendo ser construída uma edificação de até 3 pavimentos, Em uma parte da rua temos uma belíssima vista para o Cristo Redentor !   Mais sobre Botafogo - Tem como ponto principal a baía em forma de meia-lua e a praia, ambas com o mesmo nome do bairro e vista para o Pão de Açúcar, Fora da orla, os arranha-céus cedem espaço para ruas arborizadas com cinemas, bistrôs inovadores e shopping centers, além de refúgios modernos com bares descolados e casas noturnas alternativas, O Museu do Índio, situado em uma casa do século 19 com jardins, exibe artefatos indígenas, Nas proximidades, é possível ter uma vista panorâmica da cidade no alto do Morro Dona Marta,  Ligue e agende sua visita!  Atenção: Os preços e taxas podem sofrer alterações sem aviso prévio, As mobílias não estão incluídas, exceto para imoveis que possuem informação específica que são mobiliados, Considerando a rotatividade dos imoveis é possível que existam imoveis no site que já tenham sido vendidos ou alugados;22251020;-22,943061;-43,186258
2655197162;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;-1;720000,00;1832,06;Ótimo terreno no Mundo Novo em Botafogo, Para quem não conhece essa região é um Oasis no Rio de Janeiro, com belas casas e vista para o cartão postal da Baía da Guanabara e Pão de Açúcar, Próximo ao comércio de Botafogo e também Laranjeiras, Região maravilhosa para caminhadas ao ar livre,A Nova Época imóveis tem corretores altamente qualificados, consulte um dos nossos corretores e agende sua visita ou venha nos visitar, Rua Barata Ribeiro, 505, Copacabana, Muito mais que uma imobiliária, encontre o imóvel ideal para você, com a segurança do acompanhamento de um especialista durante todo o processo, O preço do imóvel está sujeito a mudança sem aviso prévio, conforme solicitação do proprietário, Avaliamos seu imóvel;22251020;-22,942291;-43,187404
2600636158;Botafogo;COMMERCIAL_PROPERTY;Rua Conde de Irajá;-1;2500000,00;2083,33; DNA Imóveis vende! Casa comercial ou residencial em Botafogo! Casa de frente duplex 1? piso : 2 quartos,cozinha e área de serviço, 2?piso: 2 salas,2 quartos com banheiro e área externa de 70m aproximados,   Casa de fundos (anexo):sala,quarto,cozinha e 2 banheiros,2? andar com entrada privada com sala,quarto,cozinha, banheiro e uma área externa de 30m aproximados,   Excelente oportunidade!! -Cod:NBCC60002 -Rev,27Fev;22271020;-22,954342;-43,195583
2660473477;Botafogo;APARTMENT;Rua Voluntários da Pátria;-1;3075000,00;2641,75;Apartamento à Venda - Botafogo, 3 Quartos, 1164 m2, Sobre o imóvel:   Valores: - Valor de venda: R$ 3075000 - Condomínio: R$ 1660 - IPTU: R$ 551  Que tal agendar uma visita? Entre em contato pelo formulário, Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos,  Seu imóvel sem burocracia O QuintoAndar revolucionou o jeito de alugar e comprar imoveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia, Conheça esse e outros imoveis no site do QuintoAndar, CRECI-RJ J7575;22270010;-22,953648;-43,190682
2663911618;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;-1;890000,00;2648,81; Privilegio Imóveis vende: Excelente Lote,Terreno 336m² no coração de Botafogo;22251020;-22,942291;-43,187404
2623933277;Botafogo;COMMERCIAL_PROPERTY;Rua Dezenove de Fevereiro;122;850000,00;2833,33; Diluane imóveis vende: Excelente Casa triplex de aproximadamente 300m² atualmente funciona um restaurante vegano no local, o imóvel tem um potencial muito grande seja para moradia ou fins comerciais,   Entre em contato conosco e peça a sua avaliação através do telefone , -Cod:BTCC00019 -Rev,27Fev;22280030;-22,953385;-43,186428
